source_serial_number,source_node_id,source_node_port,target_node_port,target_node_id,target_serial_number,cable_number
,XE9680_15,3,15,QM9770-L_3,,115
,XE9680_15,4,15,QM9770-L_4,,116
,XE9680_15,5,15,QM9770-L_5,,117
,XE9680_15,6,15,QM9770-L_6,,118
,XE9680_15,7,15,QM9770-L_7,,119
,XE9680_15,8,15,QM9770-L_8,,120
,XE9680_16,1,16,QM9770-L_1,,121
,XE9680_16,2,16,QM9770-L_2,,122
,XE9680_16,3,16,QM9770-L_3,,123
,XE9680_16,4,16,QM9770-L_4,,124
,XE9680_16,5,16,QM9770-L_5,,125
,XE9680_16,6,16,QM9770-L_6,,126
,XE9680_16,7,16,QM9770-L_7,,127
,XE9680_16,8,16,QM9770-L_8,,128
,XE9680_17,1,17,QM9770-L_1,,129
,XE9680_17,2,17,QM9770-L_2,,130
,XE9680_17,3,17,QM9770-L_3,,131
,XE9680_17,4,17,QM9770-L_4,,132
,XE9680_17,5,17,QM9770-L_5,,133
,XE9680_17,6,17,QM9770-L_6,,134
,XE9680_17,7,17,QM9770-L_7,,135
,XE9680_17,8,17,QM9770-L_8,,136
,XE9680_18,1,18,QM9770-L_1,,137
,XE9680_18,2,18,QM9770-L_2,,138
,XE9680_18,3,18,QM9770-L_3,,139
,XE9680_18,4,18,QM9770-L_4,,140
,XE9680_18,5,18,QM9770-L_5,,141
,XE9680_18,6,18,QM9770-L_6,,142
,XE9680_18,7,18,QM9770-L_7,,143
,XE9680_18,8,18,QM9770-L_8,,144
,XE9680_19,1,19,QM9770-L_1,,145
,XE9680_19,2,19,QM9770-L_2,,146
,XE9680_19,3,19,QM9770-L_3,,147
,XE9680_19,4,19,QM9770-L_4,,148
,XE9680_19,5,19,QM9770-L_5,,149
,XE9680_19,6,19,QM9770-L_6,,150
,XE9680_19,7,19,QM9770-L_7,,151
,XE9680_19,8,19,QM9770-L_8,,152
,XE9680_20,1,20,QM9770-L_1,,153
,XE9680_20,2,20,QM9770-L_2,,154
,XE9680_20,3,20,QM9770-L_3,,155
,XE9680_20,4,20,QM9770-L_4,,156
,XE9680_20,5,20,QM9770-L_5,,157
,XE9680_20,6,20,QM9770-L_6,,158
,XE9680_20,7,20,QM9770-L_7,,159
,XE9680_20,8,20,QM9770-L_8,,160
,XE9680_21,1,21,QM9770-L_1,,161
,XE9680_21,2,21,QM9770-L_2,,162
,XE9680_21,3,21,QM9770-L_3,,163
,XE9680_21,4,21,QM9770-L_4,,164
,XE9680_21,5,21,QM9770-L_5,,165
,XE9680_21,6,21,QM9770-L_6,,166
,XE9680_21,7,21,QM9770-L_7,,167
,XE9680_21,8,21,QM9770-L_8,,168
,XE9680_22,1,22,QM9770-L_1,,169
,XE9680_22,2,22,QM9770-L_2,,170
,XE9680_22,3,22,QM9770-L_3,,171
,XE9680_22,4,22,QM9770-L_4,,172
,XE9680_22,5,22,QM9770-L_5,,173
,XE9680_22,6,22,QM9770-L_6,,174
,XE9680_22,7,22,QM9770-L_7,,175
,XE9680_22,8,22,QM9770-L_8,,176
,XE9680_23,1,23,QM9770-L_1,,177
,XE9680_23,2,23,QM9770-L_2,,178
,XE9680_23,3,23,QM9770-L_3,,179
,XE9680_23,4,23,QM9770-L_4,,180
,XE9680_23,5,23,QM9770-L_5,,181
